"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.226851000E0,2.495820867E-3,-1.483529806E-3,-2.382025421E-1
1.230851000E0,3.787364578E-3,-2.373647876E-3,-3.186098635E-1
1.234851000E0,2.303834539E-3,-3.944444004E-3,-4.255112708E-1
1.238851000E0,2.984513063E-3,-5.724680144E-3,-5.476319790E-1
1.242851000E0,4.502949305E-3,-7.382742595E-3,-7.048512101E-1
1.246851000E0,4.014257342E-3,-8.115780540E-3,-8.838521838E-1
1.250851000E0,5.672320258E-3,-9.215338156E-3,-1.099557400E0
1.254851000E0,7.330382708E-3,-1.340412907E-2,-1.337742448E0
1.258851000E0,7.592182141E-3,-1.225221157E-2,-1.567776918E0
1.262863500E0,1.127482671E-2,-1.797689125E-2,-1.800481677E0
1.266851000E0,9.686577134E-3,-2.321287990E-2,-2.006849289E0
1.270851000E0,1.211258490E-2,-2.611012571E-2,-2.203041792E0
1.274851000E0,1.865756884E-2,-3.481931984E-2,-2.356316566E0
1.278851000E0,2.687806962E-3,-2.684316412E-2,-2.471368790E0
1.282851000E0,1.092576142E-2,-4.241150245E-2,-2.548966169E0
1.286851000E0,5.061454605E-3,-2.898991853E-2,-2.579718828E0
1.290851000E0,1.017526910E-2,-3.286454827E-2,-2.570276499E0
1.294851000E0,1.675515994E-2,-2.577851340E-2,-2.534828901E0
1.298851000E0,1.520181727E-2,-2.509783395E-2,-2.482818127E0
1.302851000E0,1.083849464E-2,-3.364994749E-2,-2.412655830E0
1.306851000E0,7.470009383E-3,-1.933824830E-2,-2.324097872E0
1.310851000E0,1.001818944E-2,-2.312561311E-2,-2.218662500E0
1.314851000E0,7.417649496E-3,-2.202605456E-2,-2.101097107E0
1.318851000E0,1.017526910E-2,-1.387536712E-2,-1.992206097E0
1.322854125E0,1.270599663E-2,-2.155481651E-2,-1.882040858E0
1.326854125E0,1.321214251E-2,-1.544616371E-2,-1.773586154E0
1.330851000E0,5.393067375E-3,-1.291543618E-2,-1.658394337E0
1.334851000E0,5.864306353E-3,-1.485275198E-2,-1.549224019E0
1.338851000E0,1.186823938E-3,2.094394993E-3,-1.427434921E0
1.342851000E0,7.330382941E-4,7.609635592E-3,-1.299764156E0
1.346851000E0,0.000000000E0,7.958701812E-3,-1.183385611E0
1.350851000E0,-2.583087189E-3,2.340486459E-2,-1.062294602E0
1.354851000E0,-1.001818944E-2,4.204498231E-2,-9.557073712E-1
1.358851000E0,-1.589994878E-2,6.346017122E-2,-8.618435860E-1
1.362857250E0,-8.988445625E-3,6.124360487E-2,-7.830419540E-1
1.366851000E0,-1.466076588E-3,4.530874640E-2,-7.153755426E-1
1.370851000E0,1.853539608E-2,1.766273193E-2,-6.450737119E-1
1.374851000E0,3.356268257E-2,-1.815142483E-2,-5.654692054E-1
1.378851000E0,4.153883457E-2,-3.923500329E-2,-4.853935242E-1
1.382851000E0,4.392993823E-2,-4.909611121E-2,-3.973940015E-1
1.386851000E0,2.726204321E-2,-6.038838997E-3,-2.972644866E-1
1.390851000E0,8.395033889E-3,4.742059484E-2,-1.839402467E-1
1.394851000E0,1.689478755E-2,3.298672289E-2,-7.087782025E-2
1.398851000E0,7.557275705E-3,3.754203022E-2,4.337143153E-2
1.402851000E0,4.031710327E-3,4.096287861E-2,1.377239376E-1
1.406851000E0,4.345869645E-3,3.349286690E-2,2.187770158E-1
1.410851000E0,1.190314535E-2,3.204424679E-2,2.998126447E-1
1.414851000E0,1.558579039E-2,2.595304511E-2,3.671998084E-1
1.418851000E0,1.713913307E-2,2.207841538E-2,4.133463204E-1
1.422851000E0,1.511455141E-2,2.588323317E-2,4.240801036E-1
1.426851000E0,1.143190637E-2,2.492330223E-2,3.744778335E-1
1.430851000E0,1.033234876E-2,2.755874954E-2,2.779960334E-1
1.434851000E0,7.627088577E-3,1.888446324E-2,1.742187589E-1
1.438851000E0,1.052433532E-2,1.347394194E-2,7.248352468E-2
1.442851000E0,1.675516134E-3,2.879793290E-3,-2.296853252E-2
1.446851000E0,3.682644805E-3,-5.445427261E-3,-1.192059889E-1
1.450851000E0,2.600540640E-3,1.692969352E-3,-1.944471300E-1
1.454851000E0,-9.948377265E-4,-3.141592606E-4,-2.674542665E-1
1.458851000E0,-8.901178953E-4,-5.096361507E-3,-3.320139945E-1
1.462851000E0,4.398229532E-3,-1.221730490E-4,-3.738320768E-1
1.466851000E0,9.599310579E-4,-1.029744279E-2,-3.665365875E-1
1.470851000E0,-1.867502346E-3,-9.808750823E-3,-3.603406847E-1
1.474851000E0,-2.617993858E-3,-9.477137588E-3,-3.725754321E-1
1.478851000E0,1.989675453E-3,-8.988445625E-3,-3.847054839E-1
1.482851000E0,8.028514567E-4,-2.809980186E-3,-3.980397880E-1
1.486851000E0,9.250245057E-4,3.595378250E-3,-4.251971245E-1
1.490851000E0,2.914699726E-3,1.186823845E-2,-4.171162248E-1
1.494851000E0,2.530727303E-3,1.481784508E-2,-4.015129805E-1
1.498851000E0,1.989675453E-3,6.841690745E-3,-4.081801474E-1
1.502851000E0,1.692969352E-3,2.265437320E-2,-4.037644565E-1
1.506851000E0,-5.602506921E-3,1.041961554E-2,-3.967307806E-1
1.510851000E0,-4.345869645E-3,1.363102160E-2,-3.563962281E-1
1.514851000E0,-1.745329238E-3,1.155408006E-2,-2.898642719E-1
