"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252929631E0,-1.569999941E-2,-2.999999851E-4,-3.959999979E-2,4.259976484E-2
1.262929631E0,-1.549999975E-2,-2.999999851E-4,-5.920000002E-2,6.119624167E-2
1.272929631E0,-1.549999975E-2,-2.999999851E-4,-4.939999804E-2,5.177547487E-2
1.282929631E0,-5.699999630E-3,-2.999999851E-4,-3.959999979E-2,4.000924867E-2
1.292929631E0,-5.699999630E-3,-4.999999655E-4,-6.899999827E-2,6.923683815E-2
1.302929631E0,-5.799999926E-3,-4.999999655E-4,-4.939999804E-2,4.974183154E-2
1.312929631E0,-5.699999630E-3,-4.999999655E-4,-4.939999804E-2,4.973027048E-2
1.322929631E0,-5.599999800E-3,-4.999999655E-4,-4.939999804E-2,4.971890791E-2
1.332929631E0,-1.539999992E-2,-5.999999703E-4,-4.939999804E-2,5.174823479E-2
1.342929631E0,-2.510000020E-2,-9.999999311E-4,-5.920000002E-2,6.430901968E-2
1.352929631E0,-1.529999916E-2,-1.099999994E-3,-4.939999804E-2,5.172678011E-2
1.362929631E0,4.100000020E-3,-1.099999994E-3,-3.959999979E-2,3.982687514E-2
1.372929631E0,4.100000020E-3,-1.099999994E-3,-5.920000002E-2,5.935200083E-2
1.382929631E0,-1.529999916E-2,-1.099999994E-3,-3.959999979E-2,4.246716328E-2
1.392929631E0,4.199999850E-3,-1.079999935E-2,-4.939999804E-2,5.074090846E-2
1.402929631E0,4.199999850E-3,-1.300000004E-3,-4.939999804E-2,4.959525990E-2
1.412929631E0,4.199999850E-3,-1.199999941E-3,-4.939999804E-2,4.959273944E-2
1.422929631E0,-5.599999800E-3,-1.300000004E-3,-4.939999804E-2,4.973338722E-2
1.432929631E0,-5.599999800E-3,-1.500000013E-3,-4.939999804E-2,4.973901692E-2
1.442929631E0,-1.539999992E-2,-1.399999950E-3,-5.920000002E-2,6.118627297E-2
1.452929631E0,-5.299999844E-3,-1.199999941E-3,-4.939999804E-2,4.969798592E-2
1.462929631E0,4.299999680E-3,-1.399999950E-3,-4.939999804E-2,4.960655000E-2
1.472929631E0,-1.509999949E-2,-1.399999950E-3,-4.939999804E-2,5.167523382E-2
1.482929631E0,4.299999680E-3,-1.300000004E-3,-4.939999804E-2,4.960382852E-2
1.492929631E0,-5.399999674E-3,-1.399999950E-3,-5.920000002E-2,5.946225692E-2
1.502929631E0,-1.509999949E-2,-1.399999950E-3,-3.959999979E-2,4.240436260E-2
1.512929631E0,4.399999976E-3,-1.500000013E-3,-3.959999979E-2,3.987191973E-2
1.522929631E0,-5.399999674E-3,-1.599999960E-3,-4.939999804E-2,4.972001411E-2
1.532929631E0,-1.519999932E-2,-1.599999960E-3,-5.920000002E-2,6.114114802E-2
1.542929631E0,-2.479999885E-2,-1.500000013E-3,-4.939999804E-2,5.529601929E-2
1.552929631E0,-5.099999718E-3,-1.500000013E-3,-3.959999979E-2,3.995522469E-2
1.562929631E0,-5.299999844E-3,-1.399999950E-3,-4.939999804E-2,4.970321724E-2
1.572929631E0,-5.299999844E-3,-1.199999941E-3,-5.920000002E-2,5.944888561E-2
1.582929631E0,-5.099999718E-3,-1.099999994E-3,-4.939999804E-2,4.967474009E-2
1.592929631E0,-4.999999888E-3,-1.199999941E-3,-5.920000002E-2,5.942289122E-2
1.602929631E0,-4.999999888E-3,-1.099999994E-3,-5.920000002E-2,5.942095591E-2
1.612929631E0,-1.459999941E-2,-1.099999994E-3,-4.939999804E-2,5.152407000E-2
1.622929631E0,-2.429999970E-2,-1.199999941E-3,-4.939999804E-2,5.506623095E-2
1.632929631E0,-1.429999992E-2,-1.199999941E-3,-2.979999967E-2,3.307521697E-2
1.642929631E0,-1.429999992E-2,-1.199999941E-3,-3.959999979E-2,4.211994754E-2
1.652929631E0,-1.379999984E-2,-1.300000004E-3,-3.959999979E-2,4.195580983E-2
1.662929631E0,-1.359999925E-2,-1.399999950E-3,-3.959999979E-2,4.189367449E-2
1.672929631E0,-1.339999959E-2,-1.399999950E-3,-5.920000002E-2,6.071375455E-2
