"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.712929631E0,-8.399999700E-3,1.999999949E-4,-5.929999799E-2,5.989231801E-2
2.722929631E0,-5.799999926E-3,0.000000000E0,-5.929999799E-2,5.958296535E-2
2.732929631E0,2.499999944E-3,-9.999999747E-5,-4.949999973E-2,4.956319172E-2
2.742929631E0,1.599999960E-3,-9.999999747E-5,-6.909999996E-2,6.911859370E-2
2.752929631E0,-1.389999967E-2,-9.999999747E-5,-6.909999996E-2,7.048425346E-2
2.762929631E0,4.100000020E-3,0.000000000E0,-5.929999799E-2,5.944156594E-2
2.772929631E0,2.899999963E-3,0.000000000E0,-5.929999799E-2,5.937086626E-2
2.782929631E0,-5.200000014E-3,-9.999999747E-5,-5.929999799E-2,5.952763863E-2
2.792929631E0,-4.199999850E-3,0.000000000E0,-6.909999996E-2,6.922752338E-2
2.802929631E0,-3.299999982E-3,0.000000000E0,-5.929999799E-2,5.939174826E-2
2.812929631E0,-2.699999837E-3,-9.999999747E-5,-5.939999968E-2,5.946141573E-2
2.822929631E0,6.999999750E-3,-2.999999851E-4,-5.939999968E-2,5.981178779E-2
2.832929631E0,6.899999920E-3,-2.999999851E-4,-5.939999968E-2,5.980016689E-2
2.842929631E0,6.899999920E-3,-3.999999899E-4,-5.939999968E-2,5.980075217E-2
2.852929631E0,6.899999920E-3,-3.999999899E-4,-5.939999968E-2,5.980075217E-2
2.862929631E0,-2.699999837E-3,-4.999999655E-4,-5.939999968E-2,5.946343381E-2
2.872929631E0,7.100000046E-3,-4.999999655E-4,-6.920000166E-2,6.956507910E-2
2.882929631E0,6.999999750E-3,-5.999999703E-4,-4.949999973E-2,4.999609955E-2
2.892929631E0,6.999999750E-3,-6.999999750E-4,-3.969999775E-2,4.031847986E-2
2.902929631E0,-2.799999900E-3,-6.999999750E-4,-6.920000166E-2,6.926016336E-2
