"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.990000000E0,9.499999695E-3,6.599999964E-3,-5.939999968E-2,6.051586532E-2
2.000000000E0,-2.999999851E-4,-1.329999976E-2,-6.920000166E-2,7.046715705E-2
2.010000000E0,-2.999999851E-4,6.199999712E-3,-5.939999968E-2,5.972344563E-2
2.020000000E0,-2.999999851E-4,1.589999907E-2,-6.920000166E-2,7.100380412E-2
2.030001563E0,-2.999999851E-4,-3.700000001E-3,-5.939999968E-2,5.951587991E-2
2.040000000E0,-3.999999899E-4,-3.599999938E-3,-6.920000166E-2,6.929473450E-2
2.050000000E0,-1.989999972E-2,-1.339999959E-2,-5.939999968E-2,6.406192270E-2
2.060000000E0,-2.999999851E-4,-1.329999976E-2,-4.959999770E-2,5.135308915E-2
2.070000000E0,9.399999864E-3,-3.499999875E-3,-4.959999770E-2,5.060404893E-2
2.080000000E0,1.909999922E-2,6.099999882E-3,-5.939999968E-2,6.269274225E-2
2.090000000E0,-4.999999655E-4,-3.599999938E-3,-5.939999968E-2,5.951109108E-2
2.100001563E0,9.099999443E-3,6.000000052E-3,-4.959999770E-2,5.078355799E-2
2.110000000E0,-1.040000003E-2,6.000000052E-3,-5.939999968E-2,6.060131981E-2
2.120000000E0,-5.999999703E-4,-3.700000001E-3,-4.959999770E-2,4.974142913E-2
2.130000000E0,9.099999443E-3,-1.349999942E-2,-4.959999770E-2,5.220363729E-2
2.140000000E0,8.999999613E-3,6.000000052E-3,-4.959999770E-2,5.076573417E-2
2.150000000E0,-6.999999750E-4,6.000000052E-3,-4.959999770E-2,4.996648649E-2
2.160000000E0,-6.999999750E-4,-3.799999831E-3,-4.959999770E-2,4.975027407E-2
2.170001563E0,8.999999613E-3,-1.349999942E-2,-5.939999968E-2,6.157605004E-2
2.180000000E0,-6.999999750E-4,-3.700000001E-3,-6.920000166E-2,6.930238257E-2
2.190000000E0,8.899999782E-3,-1.339999959E-2,-4.959999770E-2,5.214335774E-2
2.200000000E0,-7.999999798E-4,1.569999941E-2,-5.939999968E-2,6.144501561E-2
2.210000000E0,8.899999782E-3,-3.799999831E-3,-5.939999968E-2,6.018313681E-2
2.220000000E0,8.799999952E-3,-1.349999942E-2,-5.939999968E-2,6.154713596E-2
2.230000000E0,-9.999999311E-4,-1.329999976E-2,-5.939999968E-2,6.087897794E-2
2.240000000E0,-9.999999311E-4,-3.599999938E-3,-4.959999770E-2,4.974052444E-2
2.250000000E0,-1.099999994E-3,-1.329999976E-2,-5.939999968E-2,6.088070265E-2
2.260000000E0,-1.099999994E-3,-1.319999993E-2,-5.939999968E-2,6.085893492E-2
2.270000000E0,8.499999531E-3,-3.399999812E-3,-5.939999968E-2,6.010133070E-2
2.280000000E0,-1.199999941E-3,-3.399999812E-3,-4.959999770E-2,4.973087341E-2
2.290000000E0,8.399999700E-3,-3.299999982E-3,-5.939999968E-2,6.008169402E-2
2.300000000E0,-1.199999941E-3,-1.299999934E-2,-4.959999770E-2,5.128937272E-2
2.310000000E0,8.399999700E-3,-3.199999919E-3,-4.959999770E-2,5.040793356E-2
2.320001563E0,-1.799999969E-3,-1.999999862E-3,-6.920000166E-2,6.925229403E-2
2.330000000E0,3.499999875E-3,-9.999999311E-4,-4.949999973E-2,4.963365766E-2
2.340000000E0,-9.399999864E-3,4.999999888E-3,-3.979999945E-2,4.119951398E-2
2.350000000E0,1.420000009E-2,-1.040000003E-2,-5.929999799E-2,6.185701063E-2
2.360003125E0,3.099999856E-3,-4.999999655E-4,-5.929999799E-2,5.938307638E-2
2.370000000E0,-5.099999718E-3,6.899999920E-3,-5.929999799E-2,5.991752462E-2
2.380000000E0,3.299999982E-3,-9.399999864E-3,-5.929999799E-2,6.013102160E-2
2.390012500E0,-4.900000058E-3,1.999999949E-4,-5.929999799E-2,5.950243492E-2
2.400000000E0,-1.079999935E-2,-6.799999624E-3,-4.959999770E-2,5.121562020E-2
2.410000000E0,-7.999999449E-3,2.099999925E-3,-4.959999770E-2,5.028488603E-2
2.420000000E0,-6.099999882E-3,9.099999443E-3,-5.939999968E-2,6.040182075E-2
2.430000000E0,-6.099999882E-3,-5.999999703E-4,-5.939999968E-2,5.971540806E-2
2.440000000E0,2.319999970E-2,-1.049999986E-2,-4.959999770E-2,5.575526661E-2
2.450000000E0,-6.199999712E-3,-5.999999703E-4,-5.939999968E-2,5.972570601E-2
2.460000000E0,3.399999812E-3,-5.999999703E-4,-5.939999968E-2,5.950025177E-2
2.470000000E0,3.399999812E-3,1.879999973E-2,-3.979999945E-2,4.414793250E-2
2.480000000E0,1.310000010E-2,9.099999443E-3,-5.939999968E-2,6.150430842E-2
2.490000000E0,3.299999982E-3,9.099999443E-3,-7.899999619E-2,7.959082477E-2
2.500000000E0,3.199999919E-3,-1.040000003E-2,-4.959999770E-2,5.077952119E-2
2.510000000E0,1.310000010E-2,-1.040000003E-2,-5.939999968E-2,6.171004752E-2
2.520000000E0,3.000000026E-3,-1.059999969E-2,-5.939999968E-2,6.041291216E-2
2.530001563E0,3.000000026E-3,-7.999999798E-4,-4.959999770E-2,4.969708011E-2
2.540000000E0,3.000000026E-3,-6.999999750E-4,-5.939999968E-2,5.947982819E-2
2.550000000E0,3.000000026E-3,-6.999999750E-4,-5.939999968E-2,5.947982819E-2
2.560000000E0,3.000000026E-3,-1.040000003E-2,-6.920000166E-2,7.004141796E-2
2.570000000E0,3.000000026E-3,8.999999613E-3,-4.959999770E-2,5.049910658E-2
2.580000000E0,1.260000002E-2,-1.049999986E-2,-6.920000166E-2,7.111715846E-2
2.590000000E0,1.260000002E-2,-1.040000003E-2,-4.959999770E-2,5.222144936E-2
2.600001563E0,-6.899999920E-3,-1.030000020E-2,-6.920000166E-2,7.030177972E-2
2.610001563E0,2.699999837E-3,-1.009999961E-2,-6.920000166E-2,6.998528574E-2
2.620000000E0,2.600000007E-3,-5.999999703E-4,-5.939999968E-2,5.945990213E-2
2.630000000E0,-7.100000046E-3,-1.059999969E-2,-4.959999770E-2,5.121454643E-2
2.640000000E0,-7.100000046E-3,-1.079999935E-2,-6.920000166E-2,7.039666339E-2
