"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.400000000E0,3.749999776E-2,1.260000002E-2,-8.879999816E-2,9.721342246E-2
1.410000000E0,2.759999968E-2,1.659999974E-2,-1.030000020E-2,3.381434574E-2
1.420000000E0,-6.809999794E-2,-2.740000002E-2,-7.899999619E-2,1.078395527E-1
1.430000000E0,-2.539999969E-2,1.899999939E-2,-1.280999929E-1,1.319688150E-1
1.440000000E0,4.199999943E-2,3.920000046E-2,-2.019999921E-2,6.089893231E-2
1.450000000E0,1.799999923E-2,-7.899999619E-3,-4.959999770E-2,5.335325424E-2
1.460000000E0,-3.439999744E-2,-6.399999838E-3,-8.889999986E-2,9.553810652E-2
1.470000000E0,3.499999875E-3,1.819999889E-2,-3.989999741E-2,4.399431500E-2
1.480000000E0,1.850000024E-2,6.799999624E-3,-4.959999770E-2,5.337274375E-2
1.490000000E0,7.199999876E-3,-1.860000007E-2,-7.899999619E-2,8.147882791E-2
1.500000000E0,-1.040000003E-2,8.999999845E-4,-6.920000166E-2,6.998292813E-2
1.510000000E0,-8.399999700E-3,1.620000042E-2,-3.979999945E-2,4.378401494E-2
1.520000000E0,-6.999999750E-3,1.359999925E-2,-6.929999590E-2,7.096794634E-2
1.530000000E0,1.899999916E-3,3.199999919E-3,-5.949999765E-2,5.961627059E-2
1.540000000E0,9.499999695E-3,-2.169999853E-2,-6.920000166E-2,7.314219138E-2
1.550000000E0,-1.999999949E-4,1.759999990E-2,-4.959999770E-2,5.263040726E-2
1.560000000E0,-9.999999776E-3,-1.799999969E-3,-6.920000166E-2,6.994197756E-2
1.570000000E0,9.499999695E-3,-1.799999969E-3,-3.979999945E-2,4.095766046E-2
1.580000000E0,9.499999695E-3,-1.799999969E-3,-4.959999770E-2,5.053364984E-2
1.590000000E0,-9.999999776E-3,8.100000210E-3,-5.939999968E-2,6.077803847E-2
1.600000000E0,-9.800000116E-3,9.699999355E-3,-6.920000166E-2,7.056040121E-2
1.610000000E0,6.599999964E-3,0.000000000E0,-2.999999933E-2,3.071742110E-2
1.620000000E0,-2.499999944E-3,-1.480000000E-2,-4.959999770E-2,5.182132545E-2
1.630000000E0,-2.099999925E-3,1.169999968E-2,-5.939999968E-2,6.057771830E-2
1.640000000E0,-9.699999355E-3,1.500000013E-3,-4.959999770E-2,5.056184094E-2
1.650000000E0,0.000000000E0,-6.399999838E-3,-3.979999945E-2,4.031128817E-2
1.660000000E0,7.699999958E-3,1.090000011E-2,-5.939999968E-2,6.088070272E-2
1.670000000E0,1.420000009E-2,8.899999782E-3,-5.939999968E-2,6.171879746E-2
1.680000000E0,-1.229999959E-2,-8.700000122E-3,-5.939999968E-2,6.128082860E-2
1.690000000E0,-1.049999986E-2,9.099999443E-3,-7.899999619E-2,8.021258869E-2
1.700000000E0,2.329999954E-2,1.569999941E-2,-6.920000166E-2,7.468614456E-2
1.710000000E0,3.599999938E-3,-3.799999831E-3,-6.920000166E-2,6.939769613E-2
1.720000000E0,-1.620000042E-2,-3.700000001E-3,-5.939999968E-2,6.168054779E-2
1.730000000E0,3.299999982E-3,1.599999890E-2,-4.959999770E-2,5.222116177E-2
1.740000000E0,-6.499999668E-3,-3.399999812E-3,-4.959999770E-2,5.013950305E-2
1.750000000E0,-1.630000025E-2,6.499999668E-3,-6.920000166E-2,7.139033711E-2
